"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6873","Пользователь может добавить комментарий","chromium","Tue Feb 17 10:02:04 UTC 2026","passed","Tue Feb 17 10:02:11 UTC 2026","RealWorld Functional Tests","page.object.tests.spec.js","",""
"","101","Получить список всех пород кошек","chromium","Tue Feb 17 10:01:31 UTC 2026","passed","Tue Feb 17 10:01:31 UTC 2026","Developers.thecatap - iAPI тесты","api.spec.js","",""
"","8689","Пользователь может поставить лайк статье","chromium","Tue Feb 17 10:02:16 UTC 2026","passed","Tue Feb 17 10:02:24 UTC 2026","RealWorld Functional Tests","page.object.tests.spec.js","",""
"","4233","Проверка футера и его элементов","chromium","Tue Feb 17 10:01:53 UTC 2026","passed","Tue Feb 17 10:01:57 UTC 2026","DemoWebShop - UI тесты","uiTests.spec.js","",""
"","5425","Пользователь может создать статью","chromium","Tue Feb 17 10:01:59 UTC 2026","passed","Tue Feb 17 10:02:04 UTC 2026","RealWorld Functional Tests","page.object.tests.spec.js","",""
"","4592","Проверка элементов хедера","chromium","Tue Feb 17 10:01:34 UTC 2026","passed","Tue Feb 17 10:01:38 UTC 2026","DemoWebShop - UI тесты","uiTests.spec.js","",""
"","3508","Проверка элементов страницы товара","chromium","Tue Feb 17 10:01:39 UTC 2026","passed","Tue Feb 17 10:01:42 UTC 2026","DemoWebShop - UI тесты","uiTests.spec.js","",""
"","161","Получить конкретное изображение по ID","chromium","Tue Feb 17 10:01:31 UTC 2026","passed","Tue Feb 17 10:01:31 UTC 2026","Developers.thecatap - iAPI тесты","api.spec.js","",""
"","4260","Проверка элементов навигации по категориям","chromium","Tue Feb 17 10:01:48 UTC 2026","passed","Tue Feb 17 10:01:53 UTC 2026","DemoWebShop - UI тесты","uiTests.spec.js","",""
"","177","Поиск изображений по породе с пагинацией","chromium","Tue Feb 17 10:01:31 UTC 2026","passed","Tue Feb 17 10:01:32 UTC 2026","Developers.thecatap - iAPI тесты","api.spec.js","",""
"","6160","Проверка элементов корзины","chromium","Tue Feb 17 10:01:42 UTC 2026","passed","Tue Feb 17 10:01:48 UTC 2026","DemoWebShop - UI тесты","uiTests.spec.js","",""
"","7706","Пользователь может редактировать статью","chromium","Tue Feb 17 10:02:24 UTC 2026","passed","Tue Feb 17 10:02:32 UTC 2026","RealWorld Functional Tests","page.object.tests.spec.js","",""
"","4782","Пользователь может отредактировать профиль","chromium","Tue Feb 17 10:02:11 UTC 2026","passed","Tue Feb 17 10:02:16 UTC 2026","RealWorld Functional Tests","page.object.tests.spec.js","",""
"","305","Получить случайные изображения кошек","chromium","Tue Feb 17 10:01:31 UTC 2026","passed","Tue Feb 17 10:01:31 UTC 2026","Developers.thecatap - iAPI тесты","api.spec.js","",""
"","100","Поиск несуществующего изображения возвращает ошибку","chromium","Tue Feb 17 10:01:32 UTC 2026","passed","Tue Feb 17 10:01:32 UTC 2026","Developers.thecatap - iAPI тесты","api.spec.js","",""
